Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABB 16SEP22 25 P,0,0,-20.866965309,0,0,-20.866965309,0,0,0,0,0,-20.866965309,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABB 16SEP22 27 P,0,12.529530762,0,0,0,12.529530762,0,0,0,0,0,12.529530762,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABB 16SEP22 32 C,0,28.703734071,0,0,0,28.703734071,0,0,0,0,0,28.703734071,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABB 16SEP22 34 C,0,0,-10.882365309,0,0,-10.882365309,0,0,0,0,0,-10.882365309,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16SEP22 120 P,0,0,-92.752429115,0,0,-92.752429115,0,0,0,0,0,-92.752429115,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16SEP22 125 P,0,109.604323336,0,0,0,109.604323336,0,0,0,0,0,109.604323336,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16SEP22 150 C,0,101.521155711,0,0,0,101.521155711,0,0,0,0,0,101.521155711,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16SEP22 155 C,0,0,-43.568832588,0,0,-43.568832588,0,0,0,0,0,-43.568832588,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 21OCT22 115 P,0,0,-84.837021893,0,0,-84.837021893,0,0,0,0,0,-84.837021893,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 21OCT22 125 P,0,178.810510552,0,0,0,178.810510552,0,0,0,0,0,178.810510552,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 21OCT22 144 C,0,0,-274.114664757,0,0,-274.114664757,0,0,0,0,0,-274.114664757,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 21OCT22 150 C,0,127.078474344,0,0,0,127.078474344,0,0,0,0,0,127.078474344,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 21OCT22 155 C,0,0,-62.26401603,0,0,-62.26401603,0,0,0,0,0,-62.26401603,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 18NOV22 120 P,0,66.024655557,0,0,0,66.024655557,0,0,0,0,0,66.024655557,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 18NOV22 150 C,0,0,-777.525815885,0,0,-777.525815885,0,0,0,0,0,-777.525815885,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 18NOV22 160 C,0,214.439035508,0,0,0,214.439035508,0,0,0,0,0,214.439035508,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16DEC22 125 P,0,56.724385319,0,0,0,56.724385319,0,0,0,0,0,56.724385319,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,ABBV 16DEC22 140 P,0,38.623928256,-1.816179658,0,0,36.807748598,0,0,0,0,0,36.807748598,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 70 P,0,572.941681617,0,0,0,572.941681617,0,0,0,0,0,572.941681617,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 75 C,0,240.427957262,0,0,0,240.427957262,0,0,0,0,0,240.427957262,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 75 P,0,0,-879.407766527,0,0,-879.407766527,0,0,0,0,0,-879.407766527,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 78 C,0,180.213236295,0,0,0,180.213236295,0,0,0,0,0,180.213236295,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 90 C,0,279.097312015,0,0,0,279.097312015,0,0,0,0,0,279.097312015,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 100 C,0,76.549116537,0,0,0,76.549116537,0,0,0,0,0,76.549116537,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 21OCT22 105 C,0,0,-94.303127954,0,0,-94.303127954,0,0,0,0,0,-94.303127954,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 16DEC22 60 P,0,0,-10.726661955,0,0,-10.726661955,0,0,0,0,0,-10.726661955,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 16DEC22 70 C,0,193.978610565,0,0,0,193.978610565,0,0,0,0,0,193.978610565,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 16DEC22 70 P,0,0,-91.493973019,0,0,-91.493973019,0,0,0,0,0,-91.493973019,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 16DEC22 75 C,0,135.962797007,0,0,0,135.962797007,0,0,0,0,0,135.962797007,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 16DEC22 80 C,0,0,-202.596291489,0,0,-202.596291489,0,0,0,0,0,-202.596291489,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMD 20JAN23 60 P,0,0,-24.291761824,0,0,-24.291761824,0,0,0,0,0,-24.291761824,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 225 P,0,0,-203.483907086,0,0,-203.483907086,0,0,0,0,0,-203.483907086,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 230 P,0,235.381795913,0,0,0,235.381795913,0,0,0,0,0,235.381795913,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 235 P,0,81.530830943,0,0,0,81.530830943,0,0,0,0,0,81.530830943,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 242.5 P,0,0,-0.615595791,0,0,-0.615595791,0,0,0,0,0,-0.615595791,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 245 C,0,0,-1409.959902408,0,0,-1409.959902408,0,0,0,0,0,-1409.959902408,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 260 C,0,144.669841431,0,0,0,144.669841431,0,0,0,0,0,144.669841431,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 21OCT22 265 C,0,10.027649624,-75.346150376,0,0,-65.318500752,0,0,0,0,0,-65.318500752,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 18NOV22 210 P,0,9.927779168,0,0,0,9.927779168,0,0,0,0,0,9.927779168,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 18NOV22 250 C,0,377.041926327,0,0,0,377.041926327,0,0,0,0,0,377.041926327,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 18NOV22 270 C,0,0,-151.741483558,0,0,-151.741483558,0,0,0,0,0,-151.741483558,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 210 P,0,0,-26.621638857,0,0,-26.621638857,0,0,0,0,0,-26.621638857,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 245 P,0,123.062327619,0,0,0,123.062327619,0,0,0,0,0,123.062327619,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 255 C,0,0,-1773.416605759,0,0,-1773.416605759,0,0,0,0,0,-1773.416605759,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 255 P,0,148.889832095,0,0,0,148.889832095,0,0,0,0,0,148.889832095,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 260 P,0,43.18997263,0,0,0,43.18997263,0,0,0,0,0,43.18997263,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AMGN 16DEC22 280 C,0,610.132800256,0,0,0,610.132800256,0,0,0,0,0,610.132800256,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21OCT22 150 C,0,0,-157.157938782,0,0,-157.157938782,0,0,0,0,0,-157.157938782,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21OCT22 152.5 C,0,173.646746617,0,0,0,173.646746617,0,0,0,0,0,173.646746617,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21OCT22 165 C,0,394.66481327,0,0,0,394.66481327,0,0,0,0,0,394.66481327,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21OCT22 170 C,0,0,-240.23856603,0,0,-240.23856603,0,0,0,0,0,-240.23856603,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 18NOV22 110 P,0,169.305195275,0,0,0,169.305195275,0,0,0,0,0,169.305195275,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 16DEC22 130 P,0,31.834523334,0,0,0,31.834523334,0,0,0,0,0,31.834523334,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 105 P,0,233.351991732,0,0,0,233.351991732,0,0,0,0,0,233.351991732,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 135 P,0,75.344195457,0,0,0,75.344195457,0,0,0,0,0,75.344195457,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 165 C,0,42.228194623,0,0,0,42.228194623,0,0,0,0,0,42.228194623,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 175 C,0,163.262029423,0,0,0,163.262029423,0,0,0,0,0,163.262029423,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 190 C,0,0,-14.774664543,0,0,-14.774664543,0,0,0,0,0,-14.774664543,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 20JAN23 195 C,0,0,-60.5012398,0,0,-60.5012398,0,0,0,0,0,-60.5012398,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 17FEB23 135 P,0,195.509302928,0,0,0,195.509302928,0,0,0,0,0,195.509302928,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 17FEB23 165 C,0,45.273380515,0,0,0,45.273380515,0,0,0,0,0,45.273380515,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 17FEB23 190 C,0,0,0,0,0,0,10.315574711,0,0,0,10.315574711,10.315574711,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21APR23 130 P,0,270.068008782,0,0,0,270.068008782,0,0,0,0,0,270.068008782,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21APR23 155 P,0,99.136058886,0,0,0,99.136058886,0,0,0,0,0,99.136058886,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21APR23 165 P,0,0,0,0,0,0,0,-102.035668826,0,0,-102.035668826,-102.035668826,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21APR23 175 C,0,0,0,0,0,0,0,-1077.288102058,0,0,-1077.288102058,-1077.288102058,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AXP 21APR23 185 C,0,0,0,0,0,0,540.667462622,0,0,0,540.667462622,540.667462622,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 17JUN22 28.0 P,0,0,-7.407189652,0,0,-7.407189652,0,0,0,0,0,-7.407189652,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 17JUN22 32.5 P,0,12.942051419,0,0,0,12.942051419,0,0,0,0,0,12.942051419,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16SEP22 31 P,0,0,-22.002896535,0,0,-22.002896535,0,0,0,0,0,-22.002896535,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16SEP22 32 P,0,25.382272997,0,0,0,25.382272997,0,0,0,0,0,25.382272997,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16SEP22 37 C,0,17.263143333,0,0,0,17.263143333,0,0,0,0,0,17.263143333,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16SEP22 38 C,0,0,-13.832027728,0,0,-13.832027728,0,0,0,0,0,-13.832027728,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 21OCT22 28 P,0,0,-38.79774203,0,0,-38.79774203,0,0,0,0,0,-38.79774203,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 21OCT22 30 P,0,62.79051951,0,0,0,62.79051951,0,0,0,0,0,62.79051951,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 21OCT22 34.5 C,0,0,-85.592174681,0,0,-85.592174681,0,0,0,0,0,-85.592174681,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 21OCT22 37 C,0,57.365472639,0,0,0,57.365472639,0,0,0,0,0,57.365472639,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 21OCT22 38 C,0,0,-46.97138803,0,0,-46.97138803,0,0,0,0,0,-46.97138803,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16DEC22 25 P,0,9.720810647,0,0,0,9.720810647,0,0,0,0,0,9.720810647,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16DEC22 31 P,0,11.063698737,0,0,0,11.063698737,0,0,0,0,0,11.063698737,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16DEC22 40 C,0,23.756380529,0,0,0,23.756380529,0,0,0,0,0,23.756380529,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 16DEC22 42 C,0,0,-13.262223439,0,0,-13.262223439,0,0,0,0,0,-13.262223439,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 20JAN23 31 P,0,7.572636437,0,0,0,7.572636437,0,0,0,0,0,7.572636437,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BAC 17FEB23 30 P,0,17.123223691,0,0,0,17.123223691,0,0,0,0,0,17.123223691,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 70 P,0,0,-4.806913903,0,0,-4.806913903,0,0,0,0,0,-4.806913903,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 73 P,0,9.019944977,0,0,0,9.019944977,0,0,0,0,0,9.019944977,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 75 C,0,0,-32.514946426,0,0,-32.514946426,0,0,0,0,0,-32.514946426,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 76 C,0,7.893200462,0,0,0,7.893200462,0,0,0,0,0,7.893200462,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 77 C,0,11.134802252,0,0,0,11.134802252,0,0,0,0,0,11.134802252,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 15JUL22 79 C,0,0,-4.806913903,0,0,-4.806913903,0,0,0,0,0,-4.806913903,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 22JUL22 71 P,0,0,-5.580928769,0,0,-5.580928769,0,0,0,0,0,-5.580928769,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 22JUL22 73 P,0,0,-25.014789251,0,0,-25.014789251,0,0,0,0,0,-25.014789251,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 22JUL22 76 C,0,36.095328485,0,0,0,36.095328485,0,0,0,0,0,36.095328485,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 22JUL22 78 C,0,0,-8.792486912,0,0,-8.792486912,0,0,0,0,0,-8.792486912,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 60 P,0,0,-12.689101322,0,0,-12.689101322,0,0,0,0,0,-12.689101322,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 65 P,0,0,-18.965278098,0,0,-18.965278098,0,0,0,0,0,-18.965278098,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 67.5 P,0,28.943784549,0,0,0,28.943784549,0,0,0,0,0,28.943784549,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 70 P,0,41.780870743,0,0,0,41.780870743,0,0,0,0,0,41.780870743,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 71 P,0,12.101236317,0,0,0,12.101236317,0,0,0,0,0,12.101236317,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 78 C,0,88.251529317,0,0,0,88.251529317,0,0,0,0,0,88.251529317,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 82.5 C,0,23.215776536,0,0,0,23.215776536,0,0,0,0,0,23.215776536,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 19AUG22 90 C,0,0,-10.756402596,0,0,-10.756402596,0,0,0,0,0,-10.756402596,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 65 P,0,0,-115.469580075,0,0,-115.469580075,0,0,0,0,0,-115.469580075,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 67.5 P,0,166.389826333,0,0,0,166.389826333,0,0,0,0,0,166.389826333,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 72.5 C,0,0,-8.143834302,0,0,-8.143834302,0,0,0,0,0,-8.143834302,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 74 C,0,0,-33.255039971,0,0,-33.255039971,0,0,0,0,0,-33.255039971,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 79 C,0,32.201846863,0,0,0,32.201846863,0,0,0,0,0,32.201846863,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 16SEP22 80 C,0,0,-26.533201755,0,0,-26.533201755,0,0,0,0,0,-26.533201755,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 21OCT22 57.5 P,0,0,-19.15462503,0,0,-19.15462503,0,0,0,0,0,-19.15462503,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 21OCT22 67.5 P,0,79.937151683,0,0,0,79.937151683,0,0,0,0,0,79.937151683,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 21OCT22 75 C,0,143.666869668,0,0,0,143.666869668,0,0,0,0,0,143.666869668,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 21OCT22 80 C,0,0,-25.75641603,0,0,-25.75641603,0,0,0,0,0,-25.75641603,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 18NOV22 62.5 P,0,36.822287795,0,0,0,36.822287795,0,0,0,0,0,36.822287795,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 18NOV22 68 P,0,28.055124319,0,0,0,28.055124319,0,0,0,0,0,28.055124319,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 18NOV22 77.5 C,0,0,-322.357291402,0,0,-322.357291402,0,0,0,0,0,-322.357291402,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,BMY 18NOV22 87.5 C,0,0,-7.342992249,0,0,-7.342992249,0,0,0,0,0,-7.342992249,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 17JUN22 42 P,0,0,-33.31617842,0,0,-33.31617842,0,0,0,0,0,-33.31617842,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 17JUN22 45.5 P,0,168.823093678,0,0,0,168.823093678,0,0,0,0,0,168.823093678,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 17JUN22 49 P,0,8.396995571,-289.049188611,0,0,-280.65219304,0,0,0,0,0,-280.65219304,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 24JUN22 44.5 P,0,0,-0.086178094,0,0,-0.086178094,0,0,0,0,0,-0.086178094,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 24JUN22 46 P,0,0,-21.943153042,0,0,-21.943153042,0,0,0,0,0,-21.943153042,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 24JUN22 47.5 C,0,0,-49.764637016,0,0,-49.764637016,0,0,0,0,0,-49.764637016,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 24JUN22 48.5 C,0,9.007901541,0,0,0,9.007901541,0,0,0,0,0,9.007901541,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 24JUN22 51 C,0,0,-4.232438418,0,0,-4.232438418,0,0,0,0,0,-4.232438418,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 01JUL22 41 P,0,0,-11.55995451,0,0,-11.55995451,0,0,0,0,0,-11.55995451,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 01JUL22 43.5 P,0,21.826505812,0,0,0,21.826505812,0,0,0,0,0,21.826505812,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 08JUL22 48 C,0,6.920554082,0,0,0,6.920554082,0,0,0,0,0,6.920554082,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 08JUL22 49.5 C,0,0,-3.833676417,0,0,-3.833676417,0,0,0,0,0,-3.833676417,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 41.5 P,0,3.911191202,0,0,0,3.911191202,0,0,0,0,0,3.911191202,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 44 P,0,0,-69.650348519,0,0,-69.650348519,0,0,0,0,0,-69.650348519,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 45 C,0,0,-336.147573036,0,0,-336.147573036,0,0,0,0,0,-336.147573036,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 47.5 C,0,19.429597771,0,0,0,19.429597771,0,0,0,0,0,19.429597771,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 49 C,0,9.414618112,0,0,0,9.414618112,0,0,0,0,0,9.414618112,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 15JUL22 51 C,0,0,-8.25794422,0,0,-8.25794422,0,0,0,0,0,-8.25794422,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 39 P,0,0,-17.102998692,0,0,-17.102998692,0,0,0,0,0,-17.102998692,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 41 P,0,34.366640459,0,0,0,34.366640459,0,0,0,0,0,34.366640459,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 46 C,0,0,-502.388585281,0,0,-502.388585281,0,0,0,0,0,-502.388585281,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 46.5 P,0,22.394349216,0,0,0,22.394349216,0,0,0,0,0,22.394349216,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 48 C,0,42.740834761,0,0,0,42.740834761,0,0,0,0,0,42.740834761,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 48 P,0,0,-3.962012292,0,0,-3.962012292,0,0,0,0,0,-3.962012292,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 48.5 P,0,10.085336143,-19.528289992,0,0,-9.442953849,0,0,0,0,0,-9.442953849,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 50 C,0,53.339136812,0,0,0,53.339136812,0,0,0,0,0,53.339136812,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 50 P,0,9.734328045,0,0,0,9.734328045,0,0,0,0,0,9.734328045,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 51 C,0,0,-124.424570121,0,0,-124.424570121,0,0,0,0,0,-124.424570121,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 52 C,0,35.788848377,0,0,0,35.788848377,0,0,0,0,0,35.788848377,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 53 C,0,0,-18.259323892,0,0,-18.259323892,0,0,0,0,0,-18.259323892,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,C 22JUL22 56 C,0,0,-12.995247214,0,0,-12.995247214,0,0,0,0,0,-12.995247214,
