Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 15JUL22 150 C,0,161.471620085,0,0,0,161.471620085,0,0,0,0,0,161.471620085,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 15JUL22 155 C,0,0,-58.271879328,0,0,-58.271879328,0,0,0,0,0,-58.271879328,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 138 P,0,0,-117.689940527,0,0,-117.689940527,0,0,0,0,0,-117.689940527,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 140 P,0,0,-164.77434595,0,0,-164.77434595,0,0,0,0,0,-164.77434595,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 142 P,0,163.511943293,0,0,0,163.511943293,0,0,0,0,0,163.511943293,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 144 P,0,87.440892713,0,0,0,87.440892713,0,0,0,0,0,87.440892713,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 145 P,0,97.322468373,0,0,0,97.322468373,0,0,0,0,0,97.322468373,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 146 P,0,203.89689037,0,0,0,203.89689037,0,0,0,0,0,203.89689037,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 147 P,0,169.778794272,-77.925188738,0,0,91.853605535,0,0,0,0,0,91.853605535,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 150 C,0,31.190153757,0,0,0,31.190153757,0,0,0,0,0,31.190153757,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 150 P,0,210.970096108,0,0,0,210.970096108,0,0,0,0,0,210.970096108,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 22JUL22 157.5 C,0,0,-16.188627428,0,0,-16.188627428,0,0,0,0,0,-16.188627428,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 29JUL22 141 P,0,0,-182.000450179,0,0,-182.000450179,0,0,0,0,0,-182.000450179,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 29JUL22 142 P,0,0,-23.620778772,0,0,-23.620778772,0,0,0,0,0,-23.620778772,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 29JUL22 144 P,0,200.775436382,0,0,0,200.775436382,0,0,0,0,0,200.775436382,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 29JUL22 146 P,0,0,-739.288008394,0,0,-739.288008394,0,0,0,0,0,-739.288008394,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 29JUL22 148 P,0,1045.695182984,0,0,0,1045.695182984,0,0,0,0,0,1045.695182984,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 05AUG22 155 P,0,0,-796.71628618,0,0,-796.71628618,0,0,0,0,0,-796.71628618,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 05AUG22 157.5 P,0,1275.140954086,0,0,0,1275.140954086,0,0,0,0,0,1275.140954086,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 105 P,0,0,-61.942752464,0,0,-61.942752464,0,0,0,0,0,-61.942752464,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 110 P,0,27.712648168,-29.005770481,0,0,-1.293122313,0,0,0,0,0,-1.293122313,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 115 P,0,0,-213.4469717,0,0,-213.4469717,0,0,0,0,0,-213.4469717,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 120 P,0,71.85926107,0,0,0,71.85926107,0,0,0,0,0,71.85926107,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 125 P,0,74.282030458,-422.838665737,0,0,-348.55663528,0,0,0,0,0,-348.55663528,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 130 P,0,299.707907146,0,0,0,299.707907146,0,0,0,0,0,299.707907146,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 135 P,0,234.95932865,0,0,0,234.95932865,0,0,0,0,0,234.95932865,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 140 P,0,597.114527421,0,0,0,597.114527421,0,0,0,0,0,597.114527421,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 142 P,0,247.135627895,0,0,0,247.135627895,0,0,0,0,0,247.135627895,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 145 P,0,291.811949402,-221.688126241,0,0,70.123823161,0,0,0,0,0,70.123823161,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 147 P,0,1240.398060334,0,0,0,1240.398060334,0,0,0,0,0,1240.398060334,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 150 C,0,0,-2297.935249419,0,0,-2297.935249419,0,0,0,0,0,-2297.935249419,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 152.5 P,0,0,-1620.450199336,0,0,-1620.450199336,0,0,0,0,0,-1620.450199336,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 155 C,0,0,-1417.028635759,0,0,-1417.028635759,0,0,0,0,0,-1417.028635759,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 155 P,0,2025.656372343,0,0,0,2025.656372343,0,0,0,0,0,2025.656372343,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 157.5 P,0,144.308166347,0,0,0,144.308166347,0,0,0,0,0,144.308166347,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 160 C,0,73.481818535,-18.795452065,0,0,54.68636647,0,0,0,0,0,54.68636647,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 160 P,0,0,-144.820692272,0,0,-144.820692272,0,0,0,0,0,-144.820692272,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 19AUG22 162.5 P,0,52.678286395,0,0,0,52.678286395,0,0,0,0,0,52.678286395,
